Ano,Ambito,Departamento,Provincia,Distrito,Organizacion,Votos,Validos,Emitidos
2016,PERU,LIMA,BARRANCA,BARRANCA,FRENTE ESPERANZA,319,0.93,0.77
2016,PERU,LIMA,BARRANCA,BARRANCA,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,BARRANCA,FUERZA POPULAR,"19,385",56.59,46.89
2016,PERU,LIMA,BARRANCA,BARRANCA,ALIANZA POPULAR,"1,684",4.92,4.07
2016,PERU,LIMA,BARRANCA,BARRANCA,PERU LIBERTARIO *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,BARRANCA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","5,314",15.51,12.85
2016,PERU,LIMA,BARRANCA,BARRANCA,ACCION POPULAR,"1,413",4.12,3.42
2016,PERU,LIMA,BARRANCA,BARRANCA,DEMOCRACIA DIRECTA,259,0.76,0.63
2016,PERU,LIMA,BARRANCA,BARRANCA,PERU POSIBLE,396,1.16,0.96
2016,PERU,LIMA,BARRANCA,BARRANCA,PERU NACION *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,BARRANCA,PARTIDO HUMANISTA PERUANO *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,BARRANCA,PROGRESANDO PERU,117,0.34,0.28
2016,PERU,LIMA,BARRANCA,BARRANCA,PARTIDO POLITICO ORDEN,116,0.34,0.28
2016,PERU,LIMA,BARRANCA,BARRANCA,PERUANOS POR EL KAMBIO,"5,253",15.33,12.71
2016,PERU,LIMA,BARRANCA,BARRANCA,VOTOS EN BLANCO,"4,858",,11.75
2016,PERU,LIMA,BARRANCA,BARRANCA,VOTOS NULOS,"2,230",,5.39
2016,PERU,LIMA,BARRANCA,PARAMONGA,FRENTE ESPERANZA,111,0.89,0.71
2016,PERU,LIMA,BARRANCA,PARAMONGA,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,PARAMONGA,FUERZA POPULAR,"4,993",40.07,31.94
2016,PERU,LIMA,BARRANCA,PARAMONGA,ALIANZA POPULAR,"1,055",8.47,6.75
2016,PERU,LIMA,BARRANCA,PARAMONGA,PERU LIBERTARIO *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,PARAMONGA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","2,980",23.91,19.07
2016,PERU,LIMA,BARRANCA,PARAMONGA,ACCION POPULAR,506,4.06,3.24
2016,PERU,LIMA,BARRANCA,PARAMONGA,DEMOCRACIA DIRECTA,111,0.89,0.71
2016,PERU,LIMA,BARRANCA,PARAMONGA,PERU POSIBLE,96,0.77,0.61
2016,PERU,LIMA,BARRANCA,PARAMONGA,PERU NACION *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,PARAMONGA,PARTIDO HUMANISTA PERUANO *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,PARAMONGA,PROGRESANDO PERU,49,0.39,0.31
2016,PERU,LIMA,BARRANCA,PARAMONGA,PARTIDO POLITICO ORDEN,13,0.10,0.08
2016,PERU,LIMA,BARRANCA,PARAMONGA,PERUANOS POR EL KAMBIO,"2,547",20.44,16.30
2016,PERU,LIMA,BARRANCA,PARAMONGA,VOTOS EN BLANCO,"1,953",,12.50
2016,PERU,LIMA,BARRANCA,PARAMONGA,VOTOS NULOS,"1,216",,7.78
2016,PERU,LIMA,BARRANCA,PATIVILCA,FRENTE ESPERANZA,69,0.77,0.62
2016,PERU,LIMA,BARRANCA,PATIVILCA,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,PATIVILCA,FUERZA POPULAR,"5,219",58.42,46.71
2016,PERU,LIMA,BARRANCA,PATIVILCA,ALIANZA POPULAR,430,4.81,3.85
2016,PERU,LIMA,BARRANCA,PATIVILCA,PERU LIBERTARIO *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,PATIVILCA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","1,620",18.14,14.50
2016,PERU,LIMA,BARRANCA,PATIVILCA,ACCION POPULAR,293,3.28,2.62
2016,PERU,LIMA,BARRANCA,PATIVILCA,DEMOCRACIA DIRECTA,102,1.14,0.91
2016,PERU,LIMA,BARRANCA,PATIVILCA,PERU POSIBLE,51,0.57,0.46
2016,PERU,LIMA,BARRANCA,PATIVILCA,PERU NACION *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,PATIVILCA,PARTIDO HUMANISTA PERUANO *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,PATIVILCA,PROGRESANDO PERU,21,0.24,0.19
2016,PERU,LIMA,BARRANCA,PATIVILCA,PARTIDO POLITICO ORDEN,24,0.27,0.21
2016,PERU,LIMA,BARRANCA,PATIVILCA,PERUANOS POR EL KAMBIO,"1,104",12.36,9.88
2016,PERU,LIMA,BARRANCA,PATIVILCA,VOTOS EN BLANCO,"1,487",,13.31
2016,PERU,LIMA,BARRANCA,PATIVILCA,VOTOS NULOS,753,,6.74
2016,PERU,LIMA,BARRANCA,SUPE,FRENTE ESPERANZA,64,0.54,0.44
2016,PERU,LIMA,BARRANCA,SUPE,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,SUPE,FUERZA POPULAR,"7,326",62.26,50.80
2016,PERU,LIMA,BARRANCA,SUPE,ALIANZA POPULAR,760,6.46,5.27
2016,PERU,LIMA,BARRANCA,SUPE,PERU LIBERTARIO *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,SUPE,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","1,844",15.67,12.79
2016,PERU,LIMA,BARRANCA,SUPE,ACCION POPULAR,275,2.34,1.91
2016,PERU,LIMA,BARRANCA,SUPE,DEMOCRACIA DIRECTA,110,0.93,0.76
2016,PERU,LIMA,BARRANCA,SUPE,PERU POSIBLE,90,0.76,0.62
2016,PERU,LIMA,BARRANCA,SUPE,PERU NACION *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,SUPE,PARTIDO HUMANISTA PERUANO *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,SUPE,PROGRESANDO PERU,28,0.24,0.19
2016,PERU,LIMA,BARRANCA,SUPE,PARTIDO POLITICO ORDEN,10,0.08,0.07
2016,PERU,LIMA,BARRANCA,SUPE,PERUANOS POR EL KAMBIO,"1,259",10.70,8.73
2016,PERU,LIMA,BARRANCA,SUPE,VOTOS EN BLANCO,"2,078",,14.41
2016,PERU,LIMA,BARRANCA,SUPE,VOTOS NULOS,578,,4.01
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,FRENTE ESPERANZA,59,1.06,0.84
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,FUERZA POPULAR,"2,799",50.21,39.74
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,ALIANZA POPULAR,418,7.50,5.93
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,PERU LIBERTARIO *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",991,17.78,14.07
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,ACCION POPULAR,236,4.23,3.35
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,DEMOCRACIA DIRECTA,47,0.84,0.67
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,PERU POSIBLE,36,0.65,0.51
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,PERU NACION *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,PARTIDO HUMANISTA PERUANO *,0,0.00,0.00
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,PROGRESANDO PERU,13,0.23,0.18
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,PARTIDO POLITICO ORDEN,15,0.27,0.21
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,PERUANOS POR EL KAMBIO,961,17.24,13.64
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,VOTOS EN BLANCO,947,,13.44
2016,PERU,LIMA,BARRANCA,SUPE PUERTO,VOTOS NULOS,522,,7.41
2016,PERU,LIMA,CAJATAMBO,CAJATAMBO,FRENTE ESPERANZA,10,1.30,0.88
2016,PERU,LIMA,CAJATAMBO,CAJATAMBO,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0,0.00,0.00
2016,PERU,LIMA,CAJATAMBO,CAJATAMBO,FUERZA POPULAR,416,54.10,36.78
2016,PERU,LIMA,CAJATAMBO,CAJATAMBO,ALIANZA POPULAR,31,4.03,2.74
2016,PERU,LIMA,CAJATAMBO,CAJATAMBO,PERU LIBERTARIO *,0,0.00,0.00
2016,PERU,LIMA,CAJATAMBO,CAJATAMBO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",185,24.06,16.36
2016,PERU,LIMA,CAJATAMBO,CAJATAMBO,ACCION POPULAR,42,5.46,3.71
